Year,Make,Model,Mileage,Body style,Gearbox,Hand drive,Engine,Color,Custom cleared,Price
2018,BMW,745,49001 մղոն , Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ, մաքսազերծված չ,$ 17 500
2019,Tesla,Model 3,17935 կմ , Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ, մաքսազերծված չ,$ 15 500
2000,Opel,Zafira,269000 կմ , Մինիվեն / Միկրոավտոբուս, Մեխանիկական, Ձախ, Գազ, Կապույտ, Մաքսազերծված,֏ 2 220 515
2018,Nissan,Maxima,71000 կմ , Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ, Մաքսազերծված,$ 22 000
2020,Volkswagen,Jetta,8227 մղոն , Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ, մաքսազերծված չ,$ 9 100
2020,Nissan,Murano,67488 մղոն , Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սպիտակ, մաքսազերծված չ,$ 10 400
2019,Hyundai,Elantra,530000 մղոն , Սեդան, Ավտոմատ, Ձախ, Գազ, Արծաթագույն, Մաքսազերծված,$ 17 500
2018,Kia,Forte,37000 մղոն , Սեդան, Ավտոմատ, Ձախ, Բենզին, Սև, մաքսազերծված չ,$ 4 500
2018,Chevrolet,Cruze,55000 մղոն , Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ, Մաքսազերծված,$ 12 800
2017,Nissan,Frontier,22493 կմ , Պիկապ, Ավտոմատ, Ձախ, Բենզին, Կարմիր, մաքսազերծված չ,$ 12 800
2019,Toyota,Land Cruiser 300,45200 մղոն , Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սև, մաքսազերծված չ,$ 42 000
2017,Hyundai,Elantra,97000 մղոն , Սեդան, Ավտոմատ, Ձախ, Բենզին, Կարմիր, Մաքսազերծված,$ 11 400
2017,BMW,X5,21835 կմ , Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սև, մաքսազերծված չ,$ 14 800
2018,Nissan,Maxima,19347 կմ , Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սպիտակ, մաքսազերծված չ,$ 5 700
2016,Toyota,Prius,40200 մղոն , Հետչբեք, Ավտոմատ, Ձախ, Հիբրիդ, Արծաթագույն, մաքսազերծված չ,$ 3 800
2021,Mazda,6,7833 մղոն , Սեդան, Ավտոմատ, Ձախ, Բենզին, Կապույտ, մաքսազերծված չ,$ 12 500
2021,Nissan,Altima,9001 մղոն , Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սպիտակ, մաքսազերծված չ,$ 7 500
2019,Ford,Fiesta,105000 մղոն , Սեդան, Ավտոմատ, Ձախ, Բենզին, Մոխրագույն, մաքսազերծված չ,$ 2 000
2022,Mercedes-Benz,C 300,21826 կմ , Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ, մաքսազերծված չ,$ 20 600
2020,Volkswagen,Jetta,14100 կմ , Սեդան, Ավտոմատ, Ձախ, Բենզին, Կապույտ, մաքսազերծված չ,$ 4 400
2017,Mazda,6,42000 մղոն , Սեդան, Ավտոմատ, Ձախ, Բենզին, Կապույտ, մաքսազերծված չ,$ 3 800
2016,Chevrolet,Impala,23914 կմ , Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ, մաքսազերծված չ,$ 2 100
2019,Audi,A6,23682 կմ , Սեդան, Ավտոմատ, Ձախ, Բենզին, Սև, մաքսազերծված չ,$ 11 700
2022,Toyota,Camry,16725 կմ , Սեդան, Ավտոմատ, Ձախ, Բենզին, Արծաթագույն, մաքսազերծված չ,$ 12 100
2017,Hyundai,Santa Fe,22937 կմ , Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սպիտակ, մաքսազերծված չ,$ 5 200
2017,Lexus,GX 460,22731 կմ , Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Արծաթագույն, մաքսազերծված չ,$ 19 400
2016,Hyundai,Sonata,22947 կմ , Սեդան, Ավտոմատ, Ձախ, Բենզին, Արծաթագույն, մաքսազերծված չ,$ 2 600
2017,Mercedes-Benz,E 300,22130 կմ , Սեդան, Ավտոմատ, Ձախ, Բենզին, Մոխրագույն, մաքսազերծված չ,$ 13 200
2019,Mazda,6,31735 մղոն , Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ, մաքսազերծված չ,$ 14 900
2016,Kia,Forte,106523 մղոն , Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ, մաքսազերծված չ,$ 5 200
2016,Hyundai,Elantra,110000 մղոն , Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ, Մաքսազերծված,$ 10 000
1998,Opel,Astra,290000 կմ , Ունիվերսալ, Մեխանիկական, Ձախ, Գազ, Սև, Մաքսազերծված,$ 3 800
2019,Kia,Forte,18357 կմ , Սեդան, Ավտոմատ, Ձախ, Բենզին, Արծաթագույն, մաքսազերծված չ,$ 3 100
2019,Porsche,Panamera,10000 մղոն , Սեդան, Ավտոմատ, Ձախ, Բենզին, Կապույտ, մաքսազերծված չ,$ 23 100
2021,Volkswagen,Atlas,33500 մղոն , Ունիվերսալ, Ավտոմատ, Ձախ, Բենզին, Սև, մաքսազերծված չ,$ 12 000
2016,Mercedes-Benz,S 500,94000 կմ , Սեդան, Ավտոմատ, Ձախ, Բենզին, Սև, Մաքսազերծված,$ 65 000
2019,Kia,Optima,19000 կմ , Սեդան, Ավտոմատ, Ձախ, Բենզին, Մոխրագույն, մաքսազերծված չ,$ 5 800
2017,Mercedes-Benz,C 200,58000 կմ , Սեդան, Ավտոմատ, Ձախ, Բենզին, Սև, Մաքսազերծված,$ 27 000
2020,Mercedes-Benz,GLE 63 S Coupe,14000 կմ , Կուպե, Ավտոմատ, Ձախ, Բենզին, Արծաթագույն, մաքսազերծված չ,$ 45 000
2021,Tesla,Model 3,10055 մղոն , Սեդան, Ավտոմատ, Ձախ, Էլեկտրական, Կապույտ, մաքսազերծված չ,$ 13 000
2020,Mercedes-Benz,C 300,25000 մղոն , Սեդան, Ավտոմատ, Ձախ, Բենզին, Բեժ, մաքսազերծված չ,$ 13 000
2014,Toyota,Prius,76580 մղոն , Հետչբեք, Ավտոմատ, Ձախ, Հիբրիդ, Սև, Մաքսազերծված,$ 13 000
2020,Mazda,6,33565 մղոն , Սեդան, Ավտոմատ, Ձախ, Բենզին, Սև, մաքսազերծված չ,$ 8 600
2020,Hyundai,Elantra,18347 կմ , Սեդան, Ավտոմատ, Ձախ, Բենզին, Սև, մաքսազերծված չ,$ 4 800
2022,Nissan,Sentra,19527 կմ , Սեդան, Ավտոմատ, Ձախ, Բենզին, Արծաթագույն, մաքսազերծված չ,$ 7 100
2018,Kia,Optima,80000 մղոն , Սեդան, Ավտոմատ, Ձախ, Բենզին, Կապույտ, Մաքսազերծված,$ 19 800
2017,Ford,F150,85000 մղոն , Պիկապ, Ավտոմատ, Ձախ, Բենզին, Սպիտակ, մաքսազերծված չ,$ 8 500
2017,Nissan,Sentra,20178 կմ , Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ, մաքսազերծված չ,$ 2 500
2018,Nissan,Rogue,38000 մղոն , Ունիվերսալ, Վարիատոր, Ձախ, Բենզին, Սև, Մաքսազերծված,$ 24 500
2019,Jeep,Cherokee,74100 կմ , Ունիվերսալ, Ավտոմատ, Ձախ, Բենզին, Սպիտակ, Մաքսազերծված,$ 24 900
2016,Mazda,3,71600 մղոն , Հետչբեք, Ավտոմատ, Ձախ, Բենզին, Մոխրագույն, մաքսազերծված չ,$ 3 800
2019,GMC,Acadia,19850 կմ , Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սև, մաքսազերծված չ,$ 8 000
2021,Nissan,Kicks,16824 կմ , Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Մոխրագույն, մաքսազերծված չ,$ 5 200
2017,BMW,320,49000 կմ , Սեդան, Ավտոմատ, Ձախ, Բենզին, Սև, մաքսազերծված չ,$ 5 000
2017,Audi,Q7,22854 կմ , Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սև, մաքսազերծված չ,$ 12 200
