Year,Make,Model,Mileage,Body style,Gearbox,Hand drive,Engine,Color,Custom cleared,Price
2018,BMW,745,78859,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,17500
2019,Tesla,Model 3,17935,Սեդան,Ավտոմատ,Ձախ,Էլեկտրական,Սպիտակ,մաքսազերծված չ,15500
2000,Opel,Zafira,269000,Մինիվեն / Միկրոավտոբուս,Մեխանիկական,Ձախ,Գազ,Կապույտ,Մաքսազերծված,5773
2018,Nissan,Maxima,71000,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,Մաքսազերծված,22000
2020,Volkswagen,Jetta,13240,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,9100
2020,Nissan,Murano,108611,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,10400
2019,Hyundai,Elantra,852952,Սեդան,Ավտոմատ,Ձախ,Գազ,Արծաթագույն,Մաքսազերծված,17500
2018,Kia,Forte,59545,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,4500
2018,Chevrolet,Cruze,88513,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,Մաքսազերծված,12800
2017,Nissan,Frontier,22493,Պիկապ,Ավտոմատ,Ձախ,Բենզին,Կարմիր,մաքսազերծված չ,12800
2019,Toyota,Land Cruiser 300,72742,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,42000
2017,Hyundai,Elantra,156106,Սեդան,Ավտոմատ,Ձախ,Բենզին,Կարմիր,Մաքսազերծված,11400
2017,BMW,X5,21835,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,14800
2018,Nissan,Maxima,19347,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,5700
2016,Toyota,Prius,64695,Հետչբեք,Ավտոմատ,Ձախ,Հիբրիդ,Արծաթագույն,մաքսազերծված չ,3800
2021,Mazda,6,12605,Սեդան,Ավտոմատ,Ձախ,Բենզին,Կապույտ,մաքսազերծված չ,12500
2021,Nissan,Altima,14485,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,7500
2019,Ford,Fiesta,168981,Սեդան,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,մաքսազերծված չ,2000
2022,Mercedes-Benz,C 300,21826,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,20600
2020,Volkswagen,Jetta,14100,Սեդան,Ավտոմատ,Ձախ,Բենզին,Կապույտ,մաքսազերծված չ,4400
2017,Mazda,6,67592,Սեդան,Ավտոմատ,Ձախ,Բենզին,Կապույտ,մաքսազերծված չ,3800
2016,Chevrolet,Impala,23914,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,2100
2019,Audi,A6,23682,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,11700
2022,Toyota,Camry,16725,Սեդան,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,մաքսազերծված չ,12100
2017,Hyundai,Santa Fe,22937,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,5200
2017,Lexus,GX 460,22731,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,մաքսազերծված չ,19400
2016,Hyundai,Sonata,22947,Սեդան,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,մաքսազերծված չ,2600
2017,Mercedes-Benz,E 300,22130,Սեդան,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,մաքսազերծված չ,13200
2019,Mazda,6,51072,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,14900
2016,Kia,Forte,171432,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,5200
2016,Hyundai,Elantra,177027,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,Մաքսազերծված,10000
1998,Opel,Astra,290000,Ունիվերսալ,Մեխանիկական,Ձախ,Գազ,Սև,Մաքսազերծված,3800
2019,Kia,Forte,18357,Սեդան,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,մաքսազերծված չ,3100
2019,Porsche,Panamera,16093,Սեդան,Ավտոմատ,Ձախ,Բենզին,Կապույտ,մաքսազերծված չ,23100
2021,Volkswagen,Atlas,53913,Ունիվերսալ,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,12000
2016,Mercedes-Benz,S 500,94000,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,Մաքսազերծված,65000
2019,Kia,Optima,19000,Սեդան,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,մաքսազերծված չ,5800
2017,Mercedes-Benz,C 200,58000,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,Մաքսազերծված,27000
2020,Mercedes-Benz,GLE 63 S Coupe,14000,Կուպե,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,մաքսազերծված չ,45000
2021,Tesla,Model 3,16181,Սեդան,Ավտոմատ,Ձախ,Էլեկտրական,Կապույտ,մաքսազերծված չ,13000
2020,Mercedes-Benz,C 300,40233,Սեդան,Ավտոմատ,Ձախ,Բենզին,Բեժ,մաքսազերծված չ,13000
2014,Toyota,Prius,123243,Հետչբեք,Ավտոմատ,Ձախ,Հիբրիդ,Սև,Մաքսազերծված,13000
2020,Mazda,6,54017,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,8600
2020,Hyundai,Elantra,18347,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,4800
2022,Nissan,Sentra,19527,Սեդան,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,մաքսազերծված չ,7100
2018,Kia,Optima,128747,Սեդան,Ավտոմատ,Ձախ,Բենզին,Կապույտ,Մաքսազերծված,19800
